Element,Shell Angular Momentum,Exponents,Coefficients
13,3,2.440000E-01,1.0000000
13,2,"1.090000E-01, 3.330000E-01","1.000000E+00, 0.000000E+00"
14,0,"2.549000E+05, 3.819000E+04, 8.690000E+03, 2.462000E+03, 8.048000E+02, 2.913000E+02, 1.136000E+02, 4.675000E+01, 1.982000E+01, 7.708000E+00, 3.340000E+00, 1.402000E+00, 4.387000E-01, 2.070000E-01, 7.944000E-02","6.251010E-05, 4.855530E-04, 2.545160E-03, 1.058660E-02, 3.687870E-02, 1.074790E-01, 2.479360E-01, 3.909270E-01, 3.020260E-01, 5.592360E-02, -4.024060E-03, 2.580300E-03, -1.038210E-03, 6.079300E-04, -1.540220E-04"
14,1,"4.815000E+02, 1.139000E+02, 3.623000E+01, 1.334000E+01, 5.252000E+00, 2.120000E+00, 8.561000E-01, 2.528000E-01, 7.889000E-02","1.920450E-03, 1.535520E-02, 7.139910E-02, 2.130520E-01, 3.903540E-01, 3.937210E-01, 1.325650E-01, 3.956300E-03, 3.316240E-04"
14,3,3.360000E-01,1.0000000
14,2,"1.590000E-01, 4.810000E-01","1.000000E+00, 0.000000E+00"
15,0,"3.124000E+05, 4.680000E+04, 1.065000E+04, 3.018000E+03, 9.868000E+02, 3.574000E+02, 1.396000E+02, 5.763000E+01, 2.460000E+01, 1.012000E+01, 4.283000E+00, 1.805000E+00, 6.158000E-01, 2.782000E-01, 1.055000E-01","5.769600E-05, 4.482960E-04, 2.349390E-03, 9.782650E-03, 3.414670E-02, 1.002040E-01, 2.343720E-01, 3.824340E-01, 3.180880E-01, 7.077880E-02, -1.817990E-03, 2.161800E-03, -8.347420E-04, 4.322970E-04, -1.142510E-04"
15,1,"5.049000E+02, 1.194000E+02, 3.796000E+01, 1.395000E+01, 5.457000E+00, 2.177000E+00, 8.010000E-01, 2.877000E-01, 9.714000E-02","2.337280E-03, 1.854100E-02, 8.496930E-02, 2.446150E-01, 4.227660E-01, 3.684390E-01, 7.727340E-02, -3.790050E-03, 1.599390E-03"
15,3,4.520000E-01,1.0000000
15,2,"2.160000E-01, 6.520000E-01","1.000000E+00, 0.000000E+00"
16,0,"3.741000E+05, 5.605000E+04, 1.276000E+04, 3.615000E+03, 1.183000E+03, 4.288000E+02, 1.678000E+02, 6.947000E+01, 2.984000E+01, 1.272000E+01, 5.244000E+00, 2.219000E+00, 7.767000E-01, 3.490000E-01, 1.322000E-01","5.421400E-05, 4.208550E-04, 2.206980E-03, 9.192580E-03, 3.211230E-02, 9.466830E-02, 2.236300E-01, 3.743930E-01, 3.291080E-01, 8.470380E-02, 4.408510E-04, 1.648270E-03, -6.223320E-04, 3.013060E-04, -8.412900E-05"
16,1,"5.744000E+02, 1.358000E+02, 4.319000E+01, 1.587000E+01, 6.208000E+00, 2.483000E+00, 8.688000E-01, 3.229000E-01, 1.098000E-01","2.422640E-03, 1.927960E-02, 8.854010E-02, 2.546540E-01, 4.339840E-01, 3.549530E-01, 6.189410E-02, -5.029770E-03, 2.098130E-03"
16,3,5.570000E-01,1.0000000
16,2,"2.690000E-01, 8.190000E-01","1.000000E+00, 0.000000E+00"
17,0,"4.561000E+05, 6.833000E+04, 1.555000E+04, 4.405000E+03, 1.439000E+03, 5.204000E+02, 2.031000E+02, 8.396000E+01, 3.620000E+01, 1.583000E+01, 6.334000E+00, 2.694000E+00, 9.768000E-01, 4.313000E-01, 1.625000E-01","4.929700E-05, 3.830290E-04, 2.008540E-03, 8.385580E-03, 2.947030E-02, 8.783250E-02, 2.114730E-01, 3.653640E-01, 3.408840E-01, 1.021330E-01, 3.116750E-03, 1.057510E-03, -3.780000E-04, 1.561360E-04, -5.141260E-05"
17,1,"6.633000E+02, 1.568000E+02, 4.998000E+01, 1.842000E+01, 7.240000E+00, 2.922000E+00, 1.022000E+00, 3.818000E-01, 1.301000E-01","2.404480E-03, 1.921480E-02, 8.850970E-02, 2.560200E-01, 4.369270E-01, 3.503340E-01, 5.854950E-02, -4.584230E-03, 2.269700E-03"
17,3,7.060000E-01,1.0000000
17,2,"1.046000E+00, 3.440000E-01","1.000000E+00, 0.000000E+00"
18,0,"5.450000E+05, 8.164000E+04, 1.858000E+04, 5.261000E+03, 1.717000E+03, 6.199000E+02, 2.416000E+02, 9.979000E+01, 4.315000E+01, 1.914000E+01, 7.488000E+00, 3.205000E+00, 1.196000E+00, 5.204000E-01, 1.954000E-01","4.558280E-05, 3.541080E-04, 1.857970E-03, 7.768510E-03, 2.742320E-02, 8.238360E-02, 2.012300E-01, 3.567810E-01, 3.495630E-01, 1.182660E-01, 5.601900E-03, 4.834730E-04, -1.480850E-04, 2.920250E-05, -2.316040E-05"
18,1,"7.618000E+02, 1.802000E+02, 5.750000E+01, 2.124000E+01, 8.388000E+00, 3.416000E+00, 1.206000E+00, 4.523000E-01, 1.545000E-01","2.369760E-03, 1.901990E-02, 8.808070E-02, 2.563770E-01, 4.387110E-01, 3.475690E-01, 5.667400E-02, -5.238820E-03, 1.643760E-03"
18,3,8.900000E-01,1.0000000
18,2,"4.100000E-01, 1.254000E+00","1.000000E+00, 0.000000E+00"
20,0,"2.402654E+06, 3.597898E+05, 8.187809E+04, 2.319089E+04, 7.565212E+03, 2.730702E+03, 1.064640E+03, 4.410605E+02, 1.917269E+02, 8.653774E+01, 3.989924E+01, 1.764065E+01, 8.359990E+00, 3.951330E+00, 1.713400E+00, 8.108600E-01, 3.602500E-01, 8.108000E-02, 4.484000E-02, 2.143000E-02","9.310000E-06, 7.239000E-05, 3.805900E-04, 1.604530E-03, 5.807800E-03, 1.859566E-02, 5.287776E-02, 1.301515E-01, 2.593147E-01, 3.614961E-01, 2.641116E-01, 5.709398E-02, -1.822000E-03, 2.111640E-03, -9.770900E-04, 4.558100E-04, -1.914600E-04, 9.171000E-05, -7.874000E-05, 2.232000E-05"
20,1,"4.061289E+03, 9.622465E+02, 3.121686E+02, 1.187144E+02, 4.980670E+01, 2.225998E+01, 1.028764E+01, 4.861154E+00, 2.248773E+00, 1.033662E+00, 4.641320E-01, 1.987500E-01, 6.739000E-02, 2.542000E-02","1.979900E-04, 1.732080E-03, 9.533790E-03, 3.839012E-02, 1.167588E-01, 2.562687E-01, 3.797808E-01, 3.082933E-01, 8.592090E-02, 2.120670E-03, 1.288800E-03, -4.683500E-04, 1.472800E-04, -5.288000E-05"
20,2,"1.694623E+01, 4.472120E+00, 1.438090E+00, 4.669900E-01, 1.415100E-01, 4.164000E-02","1.547300E-02, 7.887400E-02, 2.087800E-01, 3.302130E-01, 4.375620E-01, 3.747900E-01"
20,3,1.509000E-01,1.0000000
